"","Accession","Group","AMRany","ESBLR","CiprofloxacinR","AzithromycinR","Genotype","STNGroups"
"860","SRR7266780","pMSM",0,0,0,0,"3.7.18","non-STN"
"861","SRR7257127","Travel",1,0,1,0,"3.6.1.1","Travel"
"862","SRR7223046","pMSM",1,0,1,0,"3.6.1.1","non-STN"
"863","SRR7250967","Travel",1,0,1,0,"3.7.18","Travel"
"864","SRR7251430","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"865","SRR7286569","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"866","SRR7285567","pMSM",1,0,0,1,"3.7.25","STN"
"867","SRR7274782","Travel",1,0,1,0,"3.6.1.1","Travel"
"868","SRR7291541","non-pMSM",0,0,0,0,"3.7.7","non-STN"
"869","SRR7250966","Travel",1,0,1,0,"3.6.1.1","Travel"
"870","SRR7367457","Travel",0,0,0,0,"3.7.16","Travel"
"871","SRR7179823","non-pMSM",1,1,1,0,"3.6.1.1","non-STN"
"872","SRR7291836","non-pMSM",0,0,0,0,"3.7.12","non-STN"
"873","SRR7236627","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"874","SRR7223061","Travel",0,0,0,0,"3.7.10","Travel"
"875","SRR7236580","Travel",1,1,0,0,"3.7.25","Travel"
"876","SRR7215915","Travel",0,0,0,0,"3.7.16","Travel"
"877","SRR7251032","pMSM",1,0,0,1,"3.7.25","STN"
"878","SRR7407976","Travel",1,1,1,0,"3.7.25","Travel"
"879","SRR7285491","non-pMSM",1,1,1,0,"3.7.25","non-STN"
"880","SRR7244238","Travel",1,1,1,1,"3.6.1.1","Travel"
"881","SRR7286489","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"882","SRR7286388","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"883","SRR7236591","Travel",0,0,0,0,"3.7.16","Travel"
"884","SRR7244316","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"885","SRR7204354","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"886","SRR7187877","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"887","SRR7291672","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"888","SRR7215571","Travel",0,0,0,0,"3.6.2","Travel"
"889","SRR7187826","Travel",1,1,0,0,"3.7.25","Travel"
"890","SRR7367255","Travel",0,0,0,0,"3.7.10","Travel"
"891","SRR7249783","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"892","SRR7286545","non-pMSM",0,0,0,0,"3.7.16","non-STN"
"893","SRR7274850","non-pMSM",0,0,0,0,"3.7.16","non-STN"
"894","SRR7257042","pMSM",0,0,0,0,"3.7.16","non-STN"
"895","SRR7286676","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"896","SRR7223140","Travel",0,0,0,0,"3.7.9","Travel"
"897","SRR7215956","Travel",0,0,0,0,"3.6.2","Travel"
"898","SRR7251037","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"899","SRR7256960","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"900","SRR7221118","pMSM",1,0,1,0,"3.6.1.1.3","non-STN"
"901","SRR7286609","pMSM",0,0,0,0,"2.6","non-STN"
"902","SRR7266766","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"903","SRR7291658","Travel",1,0,1,0,"3.6.1.1","Travel"
"904","SRR7251029","non-pMSM",1,0,1,1,"3.6.1.1.2","STN"
"905","SRR7223143","pMSM",1,0,0,1,"3.7.29.1.2","STN"
"906","SRR7230301","non-pMSM",0,0,0,0,NA,"non-STN"
"907","SRR7286600","Travel",1,0,1,0,"3.6.1.1","Travel"
"908","SRR7167540","non-pMSM",1,0,1,1,"3.6.1.1.2","STN"
"909","SRR7358018","Travel",0,0,0,0,"3.7.18","Travel"
"910","SRR7249730","Travel",1,1,1,0,"3.6.1.1","Travel"
"911","SRR7204317","Travel",0,0,0,0,"3.6.3","Travel"
"912","SRR7257119","pMSM",1,0,1,0,"3.7.18","non-STN"
"913","SRR7285600","Travel",0,0,0,0,"3.6.3","Travel"
"914","SRR7266380","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"915","SRR7230228","pMSM",1,1,1,1,"3.6.3","non-STN"
"916","SRR7285532","Travel",0,0,0,0,"3.7.11","Travel"
"917","SRR7221223","Travel",0,0,0,0,"3.7.25","Travel"
"918","SRR7187789","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"919","SRR7236439","pMSM",1,1,0,0,"3.6.1","non-STN"
"920","SRR7286531","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"921","SRR7277755","pMSM",1,1,0,0,"3.6.1","non-STN"
"922","SRR7401641","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"923","SRR7367221","pMSM",0,0,0,0,"2.7.4","non-STN"
"924","SRR7244313","Travel",0,0,0,0,"3.6.2","Travel"
"925","SRR7215479","pMSM",1,1,1,1,"3.6.3","non-STN"
"926","SRR7265741","Travel",1,0,1,0,"3.6.1.1","Travel"
"927","SRR7236599","Travel",0,0,0,0,"3.4.1","Travel"
"928","SRR7285427","Travel",1,0,1,0,"3.6.1.1","Travel"
"929","SRR7291655","pMSM",0,0,0,0,NA,"STN"
"930","SRR7286610","pMSM",1,1,1,0,"3.6.1.1","non-STN"
"931","SRR7184402","non-pMSM",0,0,0,0,"3.7.16","non-STN"
"932","SRR7265628","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"933","SRR7236651","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"934","SRR7277880","Travel",0,0,0,0,"3.7.30.4.1","Travel"
"935","SRR7277813","non-pMSM",0,0,0,0,"3.6.2","non-STN"
"936","SRR7407979","Travel",1,0,1,0,"3.6.1.1","Travel"
"937","SRR7249748","Travel",0,0,0,0,"3.7.30.4.1","Travel"
"938","SRR7401729","Travel",0,0,0,0,"3.7.30.4.1","Travel"
"939","SRR7407977","Travel",0,0,0,0,"3.6.2","Travel"
"940","SRR7208996","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"941","SRR7236589","Travel",0,0,0,0,"3.6.3","Travel"
"942","SRR7358029","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"943","SRR7286257","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"944","SRR7191521","Travel",0,0,0,0,"3.6.1","Travel"
"945","SRR7249688","pMSM",1,1,1,0,"3.7.25","non-STN"
"946","SRR7204210","Travel",1,0,1,0,"3.6.1.1","Travel"
"947","SRR7250989","pMSM",0,0,0,0,"3.6.1","non-STN"
"948","SRR7274792","non-pMSM",0,0,0,0,"3.7.11","non-STN"
"949","SRR7283762","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"950","SRR7285446","Travel",0,0,0,0,"3.7.30.4.1","Travel"
"951","SRR7283733","Travel",0,0,0,0,"3.7.30.4.1","Travel"
"952","SRR7266796","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"953","SRR7187802","non-pMSM",1,1,1,0,"3.6.3","non-STN"
"954","SRR7191646","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"955","SRR7223146","pMSM",1,0,1,0,"3.7.18","non-STN"
"956","SRR7244221","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"957","SRR7286368","non-pMSM",0,0,0,0,"3.7.11","non-STN"
"958","SRR7367467","Travel",0,0,0,0,"3.7.18","Travel"
"959","SRR7191707","Travel",0,0,0,0,"3.6.2","Travel"
"960","SRR7191736","non-pMSM",1,1,1,1,"3.6.3","non-STN"
"961","SRR7283679","pMSM",0,0,0,0,"3.7.25","non-STN"
"962","SRR7179910","non-pMSM",1,0,1,1,"3.6.1.1","non-STN"
"963","SRR7187938","Travel",1,0,1,0,"3.6.1.1","Travel"
"964","SRR7204248","Travel",1,0,1,1,"3.6.1.1","Travel"
"965","SRR7221194","non-pMSM",1,0,1,1,"3.6.1.1.2","STN"
"966","SRR7257118","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"967","SRR7191560","pMSM",0,0,0,0,"3.6.3","non-STN"
"968","SRR7223117","Travel",0,0,0,0,"3.7.25","Travel"
"969","SRR7277794","Travel",1,0,0,1,"3.7.25","Travel"
"970","SRR7223080","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"971","SRR7251041","pMSM",1,0,0,1,"3.7.29.1.2","STN"
"972","SRR7274811","non-pMSM",1,0,1,0,"3.7.18","non-STN"
"973","SRR7291624","non-pMSM",0,0,0,0,"3.7.7","non-STN"
"974","SRR7251490","Travel",0,0,0,0,"3.6.1","Travel"
"975","SRR7191568","pMSM",1,1,1,1,"3.6.3","non-STN"
"976","SRR7285581","non-pMSM",0,0,0,0,"3.4.1","non-STN"
"977","SRR7283768","pMSM",1,0,0,1,"3.7.25","STN"
"978","SRR7230312","Travel",1,1,0,0,"3.7.25","Travel"
"979","SRR7184311","non-pMSM",0,0,0,0,"3.7.10","non-STN"
"980","SRR7286183","Travel",1,0,1,0,"3.6.1.1","Travel"
"981","SRR7251024","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"982","SRR7291657","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"983","SRR7230240","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"984","SRR7286518","non-pMSM",0,0,0,0,"3.7.25","non-STN"
"985","SRR7187859","pMSM",1,1,1,0,"3.6.1.1","non-STN"
"986","SRR7221189","pMSM",0,0,0,0,"3.7.16","non-STN"
"987","SRR7265965","non-pMSM",0,0,0,0,"3.7.16","non-STN"
"988","SRR7221195","non-pMSM",0,0,0,0,"3.7.25","non-STN"
"989","SRR7187838","pMSM",0,0,0,0,"3.6.4","non-STN"
"990","SRR7230315","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"991","SRR7221248","Travel",0,0,0,0,"3.6.2","Travel"
"992","SRR7221230","non-pMSM",1,1,1,1,"3.6.3","non-STN"
"993","SRR7290972","non-pMSM",0,0,0,0,"3.7.26","non-STN"
"994","SRR7250981","non-pMSM",1,0,0,1,"3.7.25","STN"
"995","SRR7367224","Travel",1,1,1,0,"3.7.25","Travel"
"996","SRR7236603","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"997","SRR7172287","Travel",1,1,1,1,"3.6.3","Travel"
"998","SRR7191540","Travel",0,0,0,0,"3.7.16","Travel"
"999","SRR7170933","non-pMSM",1,1,1,0,"3.6.3","non-STN"
"1000","SRR7266805","non-pMSM",1,0,1,1,"3.6.1.1","non-STN"
"1001","SRR7401703","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"1002","SRR7230293","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1003","SRR7187800","non-pMSM",1,1,1,1,"3.6.3","non-STN"
"1004","SRR7286442","pMSM",1,0,1,0,"3.6.1.1","non-STN"
"1005","SRR7215922","pMSM",0,0,0,0,"3.7.3","non-STN"
"1006","SRR7221247","Travel",1,1,1,0,"3.6.3","Travel"
"1007","SRR7184240","Travel",1,0,1,0,"3.6.1.1.3","Travel"
"1008","SRR7285544","pMSM",1,1,1,0,"3.6.1.1","non-STN"
"1009","SRR7285465","non-pMSM",1,1,1,0,"3.7","non-STN"
"1010","SRR7184257","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1011","SRR7282621","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"1012","SRR7191685","non-pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1013","SRR7208780","pMSM",0,0,0,0,"3.6.2","non-STN"
"1014","SRR7251477","non-pMSM",1,1,1,0,"3.7.30.1","non-STN"
"1015","SRR7286490","Travel",0,0,0,0,"3.7.16","Travel"
"1016","SRR7230317","Travel",0,0,0,0,"3.6.2","Travel"
"1017","SRR7286486","Travel",1,0,1,1,"3.6.1.1","Travel"
"1018","SRR7367579","non-pMSM",1,0,1,1,"3.6.1.1","non-STN"
"1019","SRR7286640","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1020","SRR7291593","Travel",0,0,0,0,"3.7.16","Travel"
"1021","SRR7223145","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1022","SRR7204306","Travel",0,0,0,0,"3.7.30.1","Travel"
"1023","SRR7223097","Travel",0,0,0,0,"3.6.1","Travel"
"1024","SRR7187088","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1025","SRR7208639","pMSM",0,0,0,0,"3.7.16","non-STN"
"1026","SRR7285533","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1027","SRR7286261","Travel",0,0,0,0,"3.7.16","Travel"
"1028","SRR7230373","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1029","SRR7367416","Travel",0,0,0,0,"3.4.1","Travel"
"1030","SRR7230241","non-pMSM",0,0,0,0,NA,"STN"
"1031","SRR7285568","non-pMSM",1,0,1,1,"3.6.1.1","non-STN"
"1032","SRR7204426","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1033","SRR7367543","pMSM",0,0,0,0,"3.7.18","non-STN"
"1034","SRR7230208","non-pMSM",1,0,1,0,"3.7.18","non-STN"
"1035","SRR7191677","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1036","SRR7191687","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1037","SRR7290913","non-pMSM",0,0,0,0,NA,"non-STN"
"1038","SRR7244328","non-pMSM",1,1,1,0,"3.6.3","non-STN"
"1039","SRR7286623","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"1040","SRR7187057","non-pMSM",0,0,0,0,"3.6.4","non-STN"
"1041","SRR7283727","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1042","SRR7265932","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1043","SRR7221101","Travel",1,0,1,0,"3.7.18","Travel"
"1044","SRR7286485","pMSM",0,0,0,0,"3.7.18","non-STN"
"1045","SRR7251473","Travel",0,0,0,0,NA,"Travel"
"1046","SRR7265926","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"1047","SRR7367453","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"1048","SRR7283668","pMSM",0,0,0,0,NA,"STN"
"1049","SRR7191716","non-pMSM",1,1,1,0,"3.6.3","non-STN"
"1050","SRR7265845","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1051","SRR7186955","pMSM",0,0,0,0,"3.7.18","non-STN"
"1052","SRR7187773","non-pMSM",0,0,0,0,"3.7.10","non-STN"
"1053","SRR7407990","Travel",0,0,0,0,"3.6.2","Travel"
"1054","SRR7274829","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1055","SRR7291023","non-pMSM",1,1,1,0,"3.6.3","non-STN"
"1056","SRR7286361","non-pMSM",1,0,1,1,"3.6.1.1","non-STN"
"1057","SRR7236576","non-pMSM",1,1,1,1,"3.6.3","non-STN"
"1058","SRR7187855","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"1059","SRR7204245","non-pMSM",0,0,0,0,"3.6.2","non-STN"
"1060","SRR7236605","non-pMSM",0,0,0,0,"2.7.4","non-STN"
"1061","SRR7285520","Travel",0,0,0,0,"3.6.2","Travel"
"1062","SRR7204347","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"1063","SRR7187063","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"1064","SRR7187048","non-pMSM",0,0,0,0,"3.7.25","non-STN"
"1065","SRR7283741","Travel",1,1,1,0,"3.7.25","Travel"
"1066","SRR7265953","Travel",0,0,0,0,"3.6.2","Travel"
"1067","SRR7277001","pMSM",1,1,0,0,"3.7.25","non-STN"
"1068","SRR7291953","Travel",0,0,0,0,"3.6","Travel"
"1069","SRR7286681","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"1070","SRR7274815","Travel",1,0,1,0,"3.6.1.1","Travel"
"1071","SRR7230340","Travel",0,0,0,0,"3.6.2","Travel"
"1072","SRR7291551","Travel",0,0,0,0,"3.7.21","Travel"
"1073","SRR7187893","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1074","SRR7184321","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1075","SRR7256977","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1076","SRR7179915","Travel",1,0,1,0,"3.6.1.1","Travel"
"1077","SRR7286634","pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1078","SRR7186921","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1079","SRR7172276","pMSM",1,0,0,1,"3.7.25","STN"
"1080","SRR7215937","non-pMSM",0,0,0,0,"3.7.21","non-STN"
"1081","SRR7172262","Travel",0,0,0,0,"3.6.2","Travel"
"1082","SRR7276894","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"1083","SRR7191715","Travel",1,0,1,0,"3.7.18","Travel"
"1084","SRR7286519","pMSM",1,0,0,1,"3.7.25","STN"
"1085","SRR7215946","Travel",1,0,1,0,"3.6.1.1","Travel"
"1086","SRR7291621","Travel",1,1,1,0,"3.7.25","Travel"
"1087","SRR7282611","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1088","SRR7215947","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1089","SRR7285454","non-pMSM",1,1,1,1,"3.6.3","non-STN"
"1090","SRR7215930","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1091","SRR7283672","Travel",0,0,0,0,"3.6.2","Travel"
"1092","SRR7285430","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"1093","SRR7286465","Travel",0,0,0,0,"2.4.2","Travel"
"1094","SRR7265972","non-pMSM",0,0,0,0,"3.6.2","non-STN"
"1095","SRR7236577","non-pMSM",0,0,0,0,"2.2999999999999998","non-STN"
"1096","SRR7401606","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1097","SRR7172059","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"1098","SRR7291650","Travel",0,0,0,0,"3.7.18","Travel"
"1099","SRR7215279","non-pMSM",0,0,0,0,"3.6.2","non-STN"
"1100","SRR7187003","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1101","SRR7172304","Travel",1,0,1,0,"3.6.1.1","Travel"
"1102","SRR7291908","pMSM",1,0,0,1,"3.7.29.1.2","STN"
"1103","SRR7283735","Travel",0,0,0,0,"3.6.3","Travel"
"1104","SRR7401650","non-pMSM",0,0,0,0,"3.7.3","non-STN"
"1105","SRR7367373","Travel",1,1,0,0,"3.7.25","Travel"
"1106","SRR7251441","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1107","SRR7236628","Travel",0,0,0,0,"2.4.3","Travel"
"1108","SRR7285479","Travel",0,0,0,0,"3.6.1","Travel"
"1109","SRR7184237","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"1110","SRR7186938","pMSM",0,0,0,0,"3.7.18","non-STN"
"1111","SRR7286680","non-pMSM",0,0,0,0,"3.6.2","non-STN"
"1112","SRR7230713","pMSM",0,0,0,0,"3.6.2","non-STN"
"1113","SRR7187876","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1114","SRR7286579","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1115","SRR7221294","pMSM",1,0,0,1,"3.7.25","STN"
"1116","SRR7286454","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1117","SRR7251498","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1118","SRR7244358","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1119","SRR7230386","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1120","SRR7249521","Travel",1,0,1,0,"3.6.1.1","Travel"
"1121","SRR7266381","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1122","SRR7221239","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1123","SRR7284306","pMSM",0,0,0,0,"3.6.1","non-STN"
"1124","SRR7265862","Travel",0,0,0,0,"3.6.4","Travel"
"1125","SRR7236583","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1126","SRR7223090","Travel",1,0,1,0,"3.6.1.1.1","Travel"
"1127","SRR7187874","pMSM",1,0,0,1,"3.7.25","STN"
"1128","SRR7283810","non-pMSM",1,0,0,1,"3.7.25","STN"
"1129","SRR7283716","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"1130","SRR7291539","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1131","SRR7184221","pMSM",1,0,1,0,"3.6.1.1","non-STN"
"1132","SRR7204321","pMSM",1,0,1,1,NA,"STN"
"1133","SRR7187857","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1134","SRR7257135","non-pMSM",0,0,0,0,NA,"non-STN"
"1135","SRR7204398","Travel",1,0,1,0,"3.6.1.1","Travel"
"1136","SRR7221323","Travel",1,0,1,0,"3.6.1.1","Travel"
"1137","SRR7184434","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1138","SRR7230309","pMSM",1,0,0,1,"3.7.29.1.2","STN"
"1139","SRR7257153","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1140","SRR7251039","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1141","SRR7367369","non-pMSM",0,0,0,0,"3.7.18","non-STN"
"1142","SRR7187755","non-pMSM",0,0,0,0,"3.7","non-STN"
"1143","SRR7187065","Travel",0,0,0,0,"3.6.1","Travel"
"1144","SRR7285526","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"1145","SRR7215917","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1146","SRR7358015","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"1147","SRR7187796","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1148","SRR7184342","pMSM",0,0,0,0,"3.6.2","non-STN"
"1149","SRR7265971","non-pMSM",1,1,1,1,"3.6.3","non-STN"
"1150","SRR7172269","non-pMSM",0,0,0,0,NA,"non-STN"
"1151","SRR7291006","pMSM",1,0,0,1,"3.7.25","STN"
"1152","SRR7223159","Travel",0,0,0,0,"2.7.4","Travel"
"1153","SRR7286577","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1154","SRR7265958","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1155","SRR7291591","pMSM",0,0,0,0,"2.10.1","non-STN"
"1156","SRR7236594","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"1157","SRR7367200","non-pMSM",0,0,0,0,"3.7.16","non-STN"
"1158","SRR7256974","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"1159","SRR7286408","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1160","SRR7223114","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1161","SRR7274848","Travel",1,0,1,0,"3.6.1.1","Travel"
"1162","SRR7215931","Travel",0,0,0,0,"3.4.1","Travel"
"1163","SRR7236630","Travel",0,0,0,0,"3.7.21","Travel"
"1164","SRR7283751","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1165","SRR7223058","Travel",1,0,1,0,"3.6.1.1.3","Travel"
"1166","SRR7172070","pMSM",0,0,0,0,"2.4.2","non-STN"
"1167","SRR7276909","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1168","SRR7184365","non-pMSM",1,1,1,0,"3.6.3","non-STN"
"1169","SRR7277760","Travel",1,0,1,0,"3.6.1.1","Travel"
"1170","SRR7285545","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"1171","SRR7236612","Travel",1,0,1,0,"3.6.1.1","Travel"
"1172","SRR7256807","non-pMSM",0,0,0,0,"3.7.7","non-STN"
"1173","SRR7256980","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"1174","SRR7401710","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1175","SRR7291944","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1176","SRR7290978","pMSM",1,0,0,1,"3.7.25","STN"
"1177","SRR7291637","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"1178","SRR7223141","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1179","SRR7291914","Travel",0,0,0,0,"2.10.1","Travel"
"1180","SRR7291600","Travel",1,1,0,0,"3.6.4","Travel"
"1181","SRR7172518","Travel",1,0,0,1,"3.7.25","Travel"
"1182","SRR7285534","pMSM",0,0,0,0,NA,"STN"
"1183","SRR7244416","Travel",0,0,0,0,"3.7.21","Travel"
"1184","SRR7285640","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1185","SRR7277732","non-pMSM",0,0,0,0,NA,"non-STN"
"1186","SRR7179963","pMSM",0,0,0,0,"3.6.1","non-STN"
"1187","SRR7172410","Travel",0,0,0,0,"3.7.8","Travel"
"1188","SRR7251433","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1189","SRR7367386","pMSM",0,0,0,0,NA,"STN"
"1190","SRR7285419","Travel",0,0,0,0,"3.7.3","Travel"
"1191","SRR7358027","Travel",1,0,1,0,"3.6.1.1","Travel"
"1192","SRR7283803","Travel",0,0,0,0,NA,"Travel"
"1193","SRR7291540","Travel",0,0,0,0,"2.10.1","Travel"
"1194","SRR7367546","Travel",1,1,1,0,"3.6.1.1","Travel"
"1195","SRR7286567","Travel",0,0,0,0,"3.6.3","Travel"
"1196","SRR7291833","non-pMSM",0,0,0,0,"3.7.7","non-STN"
"1197","SRR7265959","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1198","SRR7204380","pMSM",0,0,0,0,"3.6.1","non-STN"
"1199","SRR7358263","pMSM",1,0,1,1,NA,"non-STN"
"1200","SRR7291660","pMSM",1,1,1,1,"3.6.1.1.2","STN"
"1201","SRR7367533","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1202","SRR7251485","non-pMSM",1,1,1,0,"3.7.18","non-STN"
"1203","SRR7286561","pMSM",1,0,0,1,"3.7.25","STN"
"1204","SRR7291663","non-pMSM",1,1,1,0,"3.7.18","non-STN"
"1205","SRR7230391","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1206","SRR7250970","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1207","SRR7184418","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"1208","SRR7221218","non-pMSM",0,0,0,0,"3.7.18","non-STN"
"1209","SRR7276906","non-pMSM",1,1,1,0,"3.6.1.1","non-STN"
"1210","SRR7367384","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"1211","SRR7215282","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1212","SRR7187015","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1213","SRR7277762","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1214","SRR7187040","pMSM",0,0,0,0,"3.6.3","non-STN"
"1215","SRR7187887","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1216","SRR7367372","non-pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1217","SRR7184255","non-pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1218","SRR7172295","pMSM",0,0,0,0,"3.6.3","non-STN"
"1219","SRR7187948","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1220","SRR7407944","pMSM",1,0,0,1,"3.7.25","STN"
"1221","SRR7230330","pMSM",1,0,0,1,"3.7.25","STN"
"1222","SRR7401686","pMSM",1,0,0,1,"3.7.25","STN"
"1223","SRR7291590","non-pMSM",1,0,1,1,"3.6.1.1","non-STN"
"1224","SRR7358035","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1225","SRR7186890","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1226","SRR7236614","pMSM",1,0,1,1,NA,"STN"
"1227","SRR7251030","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1228","SRR7186924","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"1229","SRR7184223","Travel",0,0,0,0,"3.7.18","Travel"
"1230","SRR7286496","pMSM",1,1,0,1,"3.7.29.1.4.1","STN"
