"","Accession","Group","AMRany","ESBLR","CiprofloxacinR","AzithromycinR","Genotype"
"430","SRR5024215","non-pMSM",0,0,0,0,"3.7.15"
"431","SRR4897213","pMSM",1,0,1,0,"3.7.18"
"432","SRR4786456","non-pMSM",0,0,0,0,"2.7.1"
"433","SRR5024491","non-pMSM",1,0,0,1,"3.7.25"
"434","SRR4787884","pMSM",0,0,0,0,"3.7.29.1.2"
"435","SRR5006418","non-pMSM",1,0,1,0,"3.6.1.1"
"436","SRR4787844","non-pMSM",0,0,0,0,NA
"437","SRR4897422","pMSM",0,0,0,0,"3.7.29.1.2"
"438","SRR7291014","Travel",0,0,0,0,"3.6.2"
"439","SRR7221254","Travel",0,0,0,0,"3.7.25"
"440","SRR5005341","non-pMSM",0,0,0,0,"3.6.3"
"441","SRR7286661","Travel",0,0,0,0,"3.6.1"
"442","SRR7251011","pMSM",0,0,0,0,"3.7.30.4"
"443","SRR4897212","pMSM",1,0,1,1,"3.6.1.1.2"
"444","SRR7236683","non-pMSM",1,0,1,1,"3.6.1.1"
"445","SRR7204326","non-pMSM",0,0,0,0,"3.7.11"
"446","SRR4787437","non-pMSM",0,0,0,0,"3.6.2"
"447","SRR4788269","pMSM",0,0,0,0,"3.7.29.1.2"
"448","SRR4897093","non-pMSM",0,0,0,0,"3.7.30.4.1"
"449","SRR4787849","non-pMSM",0,0,0,0,"3.7.30.4.1"
"450","SRR7407967","non-pMSM",0,0,0,0,"3.7.25"
"451","SRR7291905","Travel",0,0,0,0,"3.7.6"
"452","SRR7236575","pMSM",1,0,0,1,"3.7.25"
"453","SRR7215290","pMSM",0,0,0,0,"3.7.4"
"454","SRR7172286","non-pMSM",0,0,0,0,"3.7.11"
"455","SRR7172288","non-pMSM",0,0,0,0,"3.7.30.4.1"
"456","SRR7285538","Travel",0,0,0,0,"3.7.25"
"457","SRR7223154","non-pMSM",0,0,0,0,"3.7.7"
"458","SRR7191536","non-pMSM",0,0,0,0,"3.7.30.4.1"
"459","SRR7223108","pMSM",1,0,0,1,"3.7.29.1.2"
"460","SRR7187092","non-pMSM",0,0,0,0,"3.7.18"
"461","SRR7184323","pMSM",0,0,0,0,"3.7.29.1.2"
"462","SRR7221288","Travel",1,0,1,0,"3.6.1.1"
"463","SRR7230334","Travel",1,0,1,0,"3.6.1.1"
"464","SRR7221199","pMSM",0,0,0,0,"3.7.29.1.2.1"
"465","SRR7277743","pMSM",0,0,0,0,"3.7.30.4.1"
"466","SRR7285495","non-pMSM",0,0,0,0,"3.7.25"
"467","SRR7186957","Travel",0,0,0,0,"3.7.25"
"468","SRR7179860","pMSM",1,0,0,1,"3.7.25"
"469","SRR7230392","non-pMSM",0,0,0,0,"3.7.30.4.1"
"470","SRR7172157","Travel",1,0,1,0,"3.6.1.1"
"471","SRR7291919","Travel",1,0,1,0,"3.6.1.1"
"472","SRR7291641","pMSM",1,0,0,1,"3.7.25"
"473","SRR7367422","Travel",1,0,1,0,"3.6.1.1"
"474","SRR7286514","pMSM",1,0,1,1,"3.6.1.1.2"
"475","SRR7230235","non-pMSM",0,0,0,0,"3.6.2"
"476","SRR7172407","non-pMSM",0,0,0,0,"3.6.1"
"477","SRR7204212","non-pMSM",0,0,0,0,"2.1.7"
"478","SRR7244278","Travel",0,0,0,0,"3.6.2"
"479","SRR7251085","non-pMSM",0,0,0,0,"3.6.2"
"480","SRR7187008","non-pMSM",0,0,0,0,"3.7.30.4.1"
"481","SRR7367415","pMSM",0,0,0,0,"3.7.30.4.1"
"482","SRR7291622","pMSM",1,0,1,0,"3.6.1.1"
"483","SRR7274836","Travel",0,0,0,0,"3.7.16"
"484","SRR7187899","non-pMSM",0,0,0,0,"3.6.2"
"485","SRR7187885","pMSM",1,0,1,1,"3.6.1.1.2"
"486","SRR7172285","non-pMSM",0,0,0,0,"3.7.16"
"487","SRR7256971","Travel",0,0,0,0,"3.7.25"
"488","SRR7230678","pMSM",1,0,1,1,"3.6.1.1.2"
"489","SRR7286576","pMSM",1,0,0,1,"3.7.29.1.2"
"490","SRR7283758","pMSM",0,0,0,0,"3.7.21"
"491","SRR7274798","Travel",1,0,1,0,"3.6.1.1"
"492","SRR7172302","pMSM",1,0,0,1,"3.7.25"
"493","SRR7251462","non-pMSM",0,0,0,0,"3.7.10"
"494","SRR7221275","non-pMSM",0,0,0,0,"3.7.26"
"495","SRR7204367","Travel",0,0,0,0,"3.6.2"
"496","SRR7191691","non-pMSM",0,0,0,0,"3.7.30.4.1"
"497","SRR7215525","Travel",0,0,0,0,"3.6.2"
"498","SRR7282659","non-pMSM",0,0,0,0,"3.7.30.4.1"
"499","SRR7286479","non-pMSM",0,0,0,0,"3.7.29.1.2"
"500","SRR7285527","pMSM",0,0,0,0,"3.7.29.1.2"
"501","SRR7221277","Travel",1,0,1,0,"3.7.18"
"502","SRR7401690","Travel",0,0,0,0,"3.7.10"
"503","SRR7277797","Travel",0,0,0,0,"3.6.2"
"504","SRR7286407","Travel",0,0,0,0,"3.6.1"
"505","SRR7187059","pMSM",1,0,0,1,"3.7.29.1.2"
"506","SRR7244284","pMSM",0,0,0,0,"3.6.2"
"507","SRR7266781","Travel",1,0,1,0,"3.7.18"
"508","SRR7283720","non-pMSM",0,0,0,0,"3.7.30.4.1"
"509","SRR7358303","non-pMSM",0,0,0,0,"3.7.16"
"510","SRR7249727","non-pMSM",0,0,0,0,"3.6.2"
"511","SRR7286574","Travel",0,0,0,0,"3.7.16"
"512","SRR7186920","pMSM",0,0,0,0,"3.7.30.1"
"513","SRR7266783","pMSM",1,1,1,0,"3.6.1.1.1"
"514","SRR7184387","Travel",1,0,1,0,"3.6.1.1"
"515","SRR7191644","pMSM",1,0,1,1,"3.6.1.1"
"516","SRR7249694","non-pMSM",0,0,0,0,"3.7"
"517","SRR7191703","non-pMSM",0,0,0,0,"3.7.30.4.1"
"518","SRR7277747","non-pMSM",0,0,0,0,"3.7.25"
"519","SRR7291927","pMSM",1,0,1,1,"3.6.1.1"
"520","SRR7221279","non-pMSM",1,0,1,0,"3.6.1.1"
"521","SRR7251033","Travel",1,0,1,0,"3.6.1.1"
"522","SRR7276956","pMSM",1,0,1,1,"3.6.1.1.2"
"523","SRR7282646","non-pMSM",0,0,0,0,"3.6.3"
"524","SRR7179954","pMSM",0,0,0,0,"3.7.16"
"525","SRR7191712","Travel",0,0,0,0,"3.7.25"
"526","SRR7230345","pMSM",1,0,1,0,"3.6.1.1"
"527","SRR7204393","non-pMSM",1,0,1,0,"3.6.1.1"
"528","SRR7285579","pMSM",1,0,1,1,"3.6.1.1.2"
"529","SRR7184245","non-pMSM",1,0,1,0,"3.6.1.1"
"530","SRR7179994","pMSM",1,0,1,1,"3.6.1.1.2"
"531","SRR7265945","Travel",0,0,0,0,"3.6.2"
"532","SRR7236604","non-pMSM",1,0,1,1,"3.6.1.1"
"533","SRR7172429","Travel",0,0,0,0,"3.6.2"
"534","SRR7367217","Travel",0,0,0,0,"3.7.10"
"535","SRR7172412","pMSM",1,0,0,1,"3.7.25"
"536","SRR7230335","Travel",0,0,0,0,"3.7.16"
"537","SRR7184369","pMSM",0,0,0,0,"3.7.29.1.2"
"538","SRR7230249","Travel",0,0,0,0,"3.7"
"539","SRR7179825","non-pMSM",0,0,0,0,"3.7.30.4.1"
"540","SRR7277779","Travel",0,0,0,0,"3.7.28"
"541","SRR7276912","non-pMSM",0,0,0,0,"3.7.30.4.1"
"542","SRR7230209","non-pMSM",0,0,0,0,"3.7.30.4.1"
"543","SRR7285561","non-pMSM",0,0,0,0,"3.7.30.4.1"
"544","SRR7172445","non-pMSM",0,0,0,0,"3.7.30.4.1"
"545","SRR7367383","non-pMSM",0,0,0,0,"3.7.30.4.1"
"546","SRR7184326","non-pMSM",0,0,0,0,"3.7.30.4.1"
"547","SRR7186934","Travel",1,1,1,0,"3.7.30.1"
"548","SRR7257089","non-pMSM",1,1,1,0,"3.7.30.1"
"549","SRR7223122","Travel",1,0,1,0,"3.7.18"
"550","SRR7286523","Travel",0,0,0,0,"2"
"551","SRR7179878","non-pMSM",1,0,1,0,"3.6.1.1"
"552","SRR7286463","non-pMSM",0,0,0,0,"3.6.3"
"553","SRR7172289","non-pMSM",0,0,0,0,"3.4.1"
"554","SRR7286685","pMSM",1,0,1,0,"3.6.1.1"
"555","SRR7266822","pMSM",0,0,0,0,"3.6.3"
"556","SRR7286558","non-pMSM",1,0,1,0,"3.6.1.1"
"557","SRR7277725","pMSM",0,0,0,0,"3.7.29.1.2"
"558","SRR7204244","pMSM",1,0,0,1,"3.7.29.1.2"
"559","SRR7283761","Travel",0,0,0,0,"3.6.3"
"560","SRR7184249","Travel",1,0,1,0,"3.6.1.1"
"561","SRR7215527","Travel",0,0,0,0,"3.6.3"
"562","SRR7286547","non-pMSM",0,0,0,0,"3.6.3"
"563","SRR7292623","pMSM",0,0,0,0,NA
"564","SRR7236622","non-pMSM",0,0,0,0,"3.7.30.4.1"
"565","SRR7266388","non-pMSM",0,0,0,0,"3.7.29.1.2"
"566","SRR7236650","Travel",0,0,0,0,"3.7.21"
"567","SRR7265938","Travel",1,0,1,0,"3.6.1.1"
"568","SRR7286493","non-pMSM",0,0,0,0,"3.7.21"
"569","SRR7367562","Travel",1,0,1,0,"3.6.1.1"
"570","SRR7266777","non-pMSM",0,0,0,0,"3.6.3"
"571","SRR7286502","non-pMSM",0,0,0,0,"3.7.30.4.1"
"572","SRR7286462","non-pMSM",0,0,0,0,"3.7.30.4.1"
"573","SRR7277003","pMSM",0,0,0,0,"3.6.3"
"574","SRR7265978","non-pMSM",0,0,0,0,"3.7.30.4.1"
"575","SRR7257039","non-pMSM",0,0,0,0,"3.6.2"
"576","SRR7187769","Travel",1,0,1,1,"3.6.1.1"
"577","SRR7191546","non-pMSM",0,0,0,0,"3.7.10"
"578","SRR7184229","Travel",0,0,0,0,"3.7.16"
"579","SRR7191525","Travel",0,0,0,0,"3.6.3"
"580","SRR7209028","non-pMSM",0,0,0,0,"3.7.30.4.1"
"581","SRR7358279","pMSM",0,0,0,0,"3.7.29.1.2"
"582","SRR7204386","Travel",0,0,0,0,"3.7.11"
"583","SRR7282632","non-pMSM",1,0,1,1,"3.6.1.1.2"
"584","SRR7223125","Travel",0,0,0,0,"3.6.3"
"585","SRR7184373","non-pMSM",0,0,0,0,NA
"586","SRR7223115","non-pMSM",1,1,1,0,"3.6.3"
"587","SRR7266387","pMSM",0,0,0,0,"3.6.1"
"588","SRR7221274","non-pMSM",1,1,0,0,"3.7.25"
"589","SRR7283806","pMSM",0,0,0,0,"3.7.29.1.2"
"590","SRR7208637","Travel",0,0,0,0,"3.6.4"
"591","SRR7286570","non-pMSM",0,0,0,0,"3.7.30.4.1"
"592","SRR7236642","Travel",0,0,0,0,"3.7.16"
"593","SRR7230303","pMSM",0,0,0,0,"3.7.30.4.1"
"594","SRR7286374","non-pMSM",0,0,0,0,"3.7.30.4.1"
"595","SRR7283743","non-pMSM",0,0,0,0,"3.7.30.4.1"
"596","SRR7244333","non-pMSM",1,0,1,1,"3.6.1.1"
"597","SRR7230374","pMSM",1,0,0,1,"3.7.25"
"598","SRR7172297","Travel",0,0,0,0,"3.6.3"
"599","SRR7172280","non-pMSM",0,0,0,0,"3.7.25"
"600","SRR7266765","pMSM",1,1,1,0,"3.6.1.1"
"601","SRR7266795","non-pMSM",0,0,0,0,"3.7.30.4.1"
"602","SRR7191543","non-pMSM",0,0,0,0,"3.7.30.4.1"
"603","SRR7358115","non-pMSM",0,0,0,0,"3.7.30.4.1"
"604","SRR7223060","non-pMSM",0,0,0,0,"3.7.30.4.1"
"605","SRR7277787","non-pMSM",0,0,0,0,"3.7.30.4.1"
"606","SRR7282620","non-pMSM",0,0,0,0,"3.6.3"
"607","SRR7236584","non-pMSM",0,0,0,0,"3.6.3"
"608","SRR7204431","non-pMSM",0,0,0,0,"3.7.30.4.1"
"609","SRR7179951","non-pMSM",0,0,0,0,"3.7.30.4.1"
"610","SRR7367421","non-pMSM",0,0,0,0,"3.7.30.4.1"
"611","SRR7179857","non-pMSM",0,0,0,0,"3.7.30.4.1"
"612","SRR7184248","Travel",0,0,0,0,"3.7.26"
"613","SRR7187784","Travel",1,0,1,0,"3.6.1.1"
"614","SRR7266756","non-pMSM",0,0,0,0,NA
"615","SRR7407965","non-pMSM",0,0,0,0,"3.7.30.4.1"
"616","SRR7187927","non-pMSM",0,0,0,0,"3.7.30.4.1"
"617","SRR7221249","non-pMSM",0,0,0,0,"3.7.30.4.1"
"618","SRR7291544","non-pMSM",0,0,0,0,"3.7.30.4.1"
"619","SRR7274819","non-pMSM",0,0,0,0,"3.7.30.4.1"
"620","SRR7187016","non-pMSM",1,0,1,0,"3.7.18"
"621","SRR7283771","Travel",1,1,1,0,"3.6.1.1"
"622","SRR7172260","Travel",0,0,0,0,"3.6.1"
"623","SRR7179826","Travel",0,0,0,0,"3.7.18"
"624","SRR7204394","pMSM",1,0,0,1,"3.7.29.1.2"
"625","SRR7204424","non-pMSM",0,0,0,0,"3.7.30.4.1"
"626","SRR7223037","non-pMSM",0,0,0,0,"3.7.30.4.1"
"627","SRR7172291","pMSM",0,0,0,0,"3.7"
"628","SRR7221108","Travel",1,0,1,0,"3.6.1.1"
"629","SRR7187012","Travel",1,0,1,0,"3.7.18"
"630","SRR7221262","pMSM",1,0,0,1,"3.7.29.1.2"
"631","SRR7285569","non-pMSM",0,0,0,0,"3.7.25"
"632","SRR7187798","Travel",0,0,0,0,"3.7"
"633","SRR7358041","non-pMSM",0,0,0,0,"3.6.1"
"634","SRR7244230","non-pMSM",0,0,0,0,"3.7.30.4.1"
"635","SRR7184233","non-pMSM",0,0,0,0,"3.7.30.4.1"
"636","SRR7286249","non-pMSM",0,0,0,0,"3.7.30.4.1"
"637","SRR7266775","Travel",1,1,0,0,"3.6.4"
"638","SRR7221253","non-pMSM",0,0,0,0,"3.7.30.4.1"
"639","SRR7291435","non-pMSM",0,0,0,0,"3.7.30.4.1"
"640","SRR7230168","non-pMSM",0,0,0,0,"3.7.30.4.1"
"641","SRR7286562","Travel",0,0,0,0,"3.7.16"
"642","SRR7223047","non-pMSM",0,0,0,0,NA
"643","SRR7251414","non-pMSM",0,0,0,0,"3.7.30.4.1"
"644","SRR7250964","non-pMSM",0,0,0,0,"3.7.30.4.1"
"645","SRR7230344","pMSM",0,0,0,0,"3.7"
"646","SRR7256950","non-pMSM",0,0,0,0,"3.7.30.4.1"
"647","SRR7286641","non-pMSM",0,0,0,0,"3.7.30.4.1"
"648","SRR7256802","pMSM",0,0,0,0,"3.7.26"
"649","SRR7221094","Travel",0,0,0,0,"3.7.10"
"650","SRR7367435","non-pMSM",0,0,0,0,"3.7.30.4.1"
"651","SRR7184338","non-pMSM",0,0,0,0,"3.6.3"
"652","SRR7223106","Travel",1,0,1,0,"3.7.18"
"653","SRR7230247","Travel",0,0,0,0,"3.6.1"
"654","SRR7274831","Travel",0,0,0,0,"3.7.11"
"655","SRR7277759","pMSM",0,0,0,0,"3.7.29.1.2"
"656","SRR7187056","pMSM",0,0,0,0,"3.7.30.4.1"
"657","SRR7191719","pMSM",0,0,0,0,"3.7.30.4.1"
"658","SRR7230238","non-pMSM",0,0,0,0,"3.7.30.4.1"
"659","SRR7277702","pMSM",0,0,0,0,"3.7.30.4.1"
"660","SRR7179968","pMSM",1,0,1,1,"3.6.1.1"
"661","SRR7209033","non-pMSM",0,0,0,0,"2.1"
"662","SRR7286480","pMSM",1,0,0,1,"3.7.25"
"663","SRR7221187","non-pMSM",1,0,0,1,"3.7.25"
"664","SRR7184269","Travel",0,0,0,0,"2.4.1"
"665","SRR7230250","Travel",0,0,0,0,"3.7.21"
"666","SRR7244287","non-pMSM",1,0,1,0,"3.6.1.1"
"667","SRR7191559","non-pMSM",0,0,0,0,"3.7.30.4.1"
"668","SRR7286511","non-pMSM",0,0,0,0,"3.7.21"
"669","SRR7249749","pMSM",1,0,0,1,"3.7.18"
"670","SRR7236565","Travel",0,0,0,0,"3.7.21"
"671","SRR7215934","Travel",0,0,0,0,"2.11.4"
"672","SRR7236615","non-pMSM",0,0,0,0,"3.6.1"
"673","SRR7230213","Travel",1,0,1,0,"3.6.1.1.3"
"674","SRR7257087","non-pMSM",0,0,0,0,NA
"675","SRR7221104","Travel",0,0,0,0,"3.7.21"
"676","SRR7285408","non-pMSM",0,0,0,0,"3.7.30.4.1"
"677","SRR7223032","non-pMSM",0,0,0,0,"3.7.30.4.1"
"678","SRR7249518","non-pMSM",0,0,0,0,"3.7.30.4.1"
"679","SRR7215935","non-pMSM",0,0,0,0,"3.6.3"
"680","SRR7230384","non-pMSM",1,1,0,0,"3.6.3"
"681","SRR7266758","Travel",1,0,1,0,"3.6.1.1.3"
"682","SRR7249712","pMSM",1,0,1,1,"3.6.1.1.2"
"683","SRR7286597","non-pMSM",0,0,0,0,"3.6.3"
"684","SRR7277704","pMSM",0,0,0,0,"3.4.1"
"685","SRR7250987","Travel",0,0,0,0,"3.6.3"
"686","SRR7276953","Travel",0,0,0,0,"3.6.3"
"687","SRR7244247","Travel",0,0,0,0,"3.7.16"
"688","SRR7283747","Travel",1,0,1,0,"3.6.1.1"
"689","SRR7223120","non-pMSM",0,0,0,0,"3.6.1"
"690","SRR7285425","non-pMSM",0,0,0,0,"3.7.30.4.1"
"691","SRR7208758","pMSM",0,0,0,0,"3.7.16"
"692","SRR7274795","non-pMSM",0,0,0,0,"3.7.30.4.1"
"693","SRR7277692","non-pMSM",0,0,0,0,"3.6.1"
"694","SRR7291646","non-pMSM",0,0,0,0,"3.7.30.4.1"
"695","SRR7215516","pMSM",1,0,1,1,"3.6.1.1.2"
"696","SRR7256998","non-pMSM",0,0,0,0,"3.7.30.4.1"
"697","SRR7187847","non-pMSM",0,0,0,0,"3.7.30.4.1"
"698","SRR7367399","non-pMSM",0,0,0,0,"3.7.30.4.1"
"699","SRR7250955","non-pMSM",0,0,0,0,NA
"700","SRR7286360","Travel",0,0,0,0,"3.7.11"
"701","SRR7257085","pMSM",1,0,0,1,"3.7.25"
"702","SRR7184334","Travel",1,1,1,0,"3.6.3"
"703","SRR7265855","Travel",1,0,1,0,"3.6.1.1"
"704","SRR7291630","Travel",0,0,0,0,"3.7.16"
"705","SRR7249707","Travel",1,0,1,0,"3.6.1.1"
"706","SRR7274801","pMSM",0,0,0,0,"1.5"
"707","SRR7358269","pMSM",1,0,1,1,"3.6.1.1.2"
"708","SRR7236619","Travel",1,0,1,0,"3.6.1.1"
"709","SRR7283808","Travel",0,0,0,0,"3.6.3"
"710","SRR7236581","pMSM",0,0,0,0,NA
"711","SRR7244274","Travel",0,0,0,0,"3.4.1"
"712","SRR7221276","pMSM",1,0,1,1,"3.6.1.1.2"
"713","SRR7172257","Travel",0,0,0,0,"3.7"
"714","SRR7277695","pMSM",0,0,0,0,"3.7"
"715","SRR7230233","pMSM",1,0,1,1,"3.6.1.1.2"
"716","SRR7282624","non-pMSM",0,0,0,0,"3.7.30.4.1"
"717","SRR7283678","pMSM",1,0,1,0,"3.6.1.1.3"
"718","SRR7215504","non-pMSM",0,0,0,0,"3.7.30.4.1"
"719","SRR7286398","Travel",1,1,1,1,"3.6.3"
"720","SRR7204390","non-pMSM",1,1,1,0,"3.6.3"
"721","SRR7291559","pMSM",1,0,0,1,"3.7.25"
"722","SRR7286488","pMSM",1,0,0,1,"3.7.29.1.2.1"
"723","SRR7251022","Travel",1,0,1,0,"3.6.1.1"
"724","SRR7223087","Travel",0,0,0,0,"3.7"
"725","SRR7286464","Travel",0,0,0,0,"3.7.10"
"726","SRR7249754","Travel",1,0,1,0,"3.6.1.1"
"727","SRR7249709","Travel",0,0,0,0,"3.4.1"
"728","SRR7172271","non-pMSM",0,0,0,0,"3.6.3"
"729","SRR7251058","Travel",0,0,0,0,"3.6.3"
"730","SRR7286535","Travel",1,0,1,0,"3.6.1.1"
"731","SRR7230162","Travel",1,0,1,0,"3.6.1.1"
"732","SRR7276888","non-pMSM",1,0,1,0,"3.6.1.1"
"733","SRR7187021","Travel",0,0,0,0,"3.6.2"
"734","SRR7286631","Travel",0,0,0,0,"3.6"
"735","SRR7186944","pMSM",0,0,0,0,"3.6.1"
"736","SRR7187873","non-pMSM",0,0,0,0,"3.7.30.4.1"
"737","SRR7290993","non-pMSM",0,0,0,0,"3.7.30.4.1"
"738","SRR7249713","pMSM",1,0,1,1,"3.6.1.1.2"
"739","SRR7266818","Travel",1,0,1,0,"3.6.1.1"
"740","SRR7179896","Travel",1,1,1,1,"3.6.3"
"741","SRR7170925","non-pMSM",1,1,1,0,"3.6.3"
"742","SRR7223055","Travel",1,0,1,0,"3.6.1.1"
"743","SRR7265961","Travel",0,0,0,0,"3"
"744","SRR7172156","non-pMSM",1,1,0,0,"3.7.25"
"745","SRR7367219","non-pMSM",1,1,1,0,"3.6.3"
"746","SRR7191548","Travel",1,0,1,0,"3.6.1.1"
"747","SRR7367210","non-pMSM",1,1,1,0,"3.6.1.1"
"748","SRR7215518","non-pMSM",1,1,1,0,"3.6.1.1"
"749","SRR7184320","Travel",1,1,1,1,"3.6.3"
"750","SRR7265935","Travel",0,0,0,0,"3.7.26"
"751","SRR7285539","non-pMSM",0,0,0,0,"3.7.30.4.1"
"752","SRR7170924","Travel",1,1,1,0,"3.6.3"
"753","SRR7187894","Travel",0,0,0,0,"3.7.25"
"754","SRR7223074","Travel",1,1,1,1,"3.6.3"
"755","SRR7209047","Travel",0,0,0,0,"3.7.16"
"756","SRR7184220","non-pMSM",0,0,0,0,NA
"757","SRR7367251","Travel",0,0,0,0,"3.6.3"
"758","SRR7274851","non-pMSM",0,0,0,0,"3.6.3"
"759","SRR7221222","Travel",0,0,0,0,"3.7.25"
"760","SRR7286611","non-pMSM",1,1,1,0,"3.6.1.1"
"761","SRR7286625","non-pMSM",1,1,1,0,"3.6.1.1"
"762","SRR7285476","Travel",1,0,1,0,"3.7.18"
"763","SRR7187845","non-pMSM",0,0,0,0,NA
"764","SRR7236590","non-pMSM",1,0,1,0,"3.6.1.1"
"765","SRR7249514","Travel",1,1,1,0,"3.6.2"
"766","SRR7283754","non-pMSM",1,0,1,0,"3.6.1.1"
"767","SRR7286503","non-pMSM",1,0,1,0,"3.6.1.1"
"768","SRR7186972","Travel",0,0,0,0,"3.7.10"
"769","SRR7286565","non-pMSM",1,0,1,0,"3.6.1.1"
"770","SRR7358007","Travel",1,1,1,1,"3.6.1.1"
"771","SRR7249684","pMSM",1,0,1,1,"3.6.1.1.2"
"772","SRR7215952","Travel",0,0,0,0,"3.7.25"
"773","SRR7286477","non-pMSM",1,0,1,0,"3.6.1.1"
"774","SRR7285501","pMSM",0,0,0,0,"3.7.21"
"775","SRR7249734","non-pMSM",1,0,1,0,"3.6.1.1"
"776","SRR7367430","non-pMSM",0,0,0,0,"3.7.30.4.1"
"777","SRR7251476","pMSM",1,0,1,1,"3.6.1.1.2"
"778","SRR7221234","pMSM",1,0,1,1,"3.6.1.1.2"
"779","SRR7204346","non-pMSM",0,0,0,0,"3.6.1"
"780","SRR7277756","non-pMSM",1,0,1,0,"3.6.1.1"
"781","SRR7291586","pMSM",1,0,1,1,"3.6.1.1.2"
"782","SRR7283801","non-pMSM",0,0,0,0,"3.6.3"
"783","SRR7230159","Travel",0,0,0,0,NA
"784","SRR7230221","non-pMSM",1,0,1,1,"3.6.1.1.2"
"785","SRR7286532","non-pMSM",1,0,1,0,"3.6.1.1"
"786","SRR7285558","pMSM",0,0,0,0,NA
"787","SRR7204307","non-pMSM",0,0,0,0,NA
"788","SRR7221240","pMSM",0,0,0,0,NA
"789","SRR7172256","non-pMSM",0,0,0,0,NA
"790","SRR7184217","pMSM",0,0,0,0,NA
"791","SRR7187777","non-pMSM",0,0,0,0,NA
"792","SRR7291906","non-pMSM",0,0,0,0,NA
"793","SRR7277774","non-pMSM",0,0,0,0,"3.7.30.4.1"
"794","SRR7187836","non-pMSM",0,0,0,0,"3.7.30.4.1"
"795","SRR7290897","non-pMSM",0,0,0,0,"3.7.30.4.1"
"796","SRR7282610","Travel",0,0,0,0,"3.7.26"
"797","SRR7236442","pMSM",1,0,1,1,"3.6.1.1.2"
"798","SRR7265966","Travel",1,0,1,0,"3.6.1.1.3"
"799","SRR7244224","Travel",1,0,1,0,"3.6.1.1"
"800","SRR7266807","Travel",0,0,0,0,"3.7.3"
"801","SRR7191678","pMSM",0,0,0,0,NA
"802","SRR7367475","non-pMSM",0,0,0,0,"3.6.3"
"803","SRR7184228","non-pMSM",0,0,0,0,"3.7.30.4.1"
"804","SRR7204455","pMSM",1,0,1,0,"3.7.18"
"805","SRR7230354","Travel",1,0,1,0,"3.6.1.1"
"806","SRR7187032","Travel",0,0,0,0,"3.7.16"
"807","SRR7276916","pMSM",1,0,1,1,"3.6.1.1.2"
"808","SRR7230219","non-pMSM",1,1,1,0,"3.6.3"
"809","SRR7290931","pMSM",0,0,0,0,"3.6.3"
"810","SRR7282604","non-pMSM",0,0,0,0,"1.5"
"811","SRR7285562","pMSM",1,1,1,0,"3.6.1.1"
"812","SRR7286445","non-pMSM",1,1,1,0,"3.6.1.1"
"813","SRR7256803","pMSM",0,0,0,0,"3.7.16"
"814","SRR7276884","pMSM",0,0,0,0,"3.7.29.1.2"
"815","SRR7221231","Travel",0,0,0,0,"3.6.1"
"816","SRR7285577","pMSM",1,0,1,0,"3.7.18"
"817","SRR7286441","pMSM",0,0,0,0,NA
"818","SRR7249505","pMSM",1,0,1,1,"3.6.1.1.2"
"819","SRR7283738","non-pMSM",0,0,0,0,NA
"820","SRR7179905","non-pMSM",0,0,0,0,"3.7.30.4.1"
"821","SRR7266809","non-pMSM",1,0,1,1,"3.6.1.1.2"
"822","SRR7236586","non-pMSM",0,0,0,0,"3.7.10"
"823","SRR7291607","Travel",0,0,0,0,"3.6.2"
"824","SRR7358108","non-pMSM",0,0,0,0,"3.6.1"
"825","SRR7291471","pMSM",1,0,0,1,"3.7.25"
"826","SRR7285570","non-pMSM",1,0,1,0,"3.6.1.1"
"827","SRR7274837","pMSM",1,0,1,0,"3.6.1.1"
"828","SRR7367466","Travel",1,0,1,0,"3.6.1.1"
"829","SRR7221099","Travel",0,0,0,0,"3.7.10"
"830","SRR7265940","Travel",0,0,0,0,"3.6.1"
"831","SRR7276963","Travel",1,0,1,0,"3.6.1.1"
"832","SRR7191541","non-pMSM",1,1,1,0,"3.6.1"
"833","SRR7367578","non-pMSM",0,0,0,0,"3.6.1"
"834","SRR7170923","non-pMSM",1,1,1,0,"3.6.3"
"835","SRR7187793","pMSM",1,1,1,0,"3.6.1.1"
"836","SRR7187006","Travel",1,0,1,0,"3.6.1.1"
"837","SRR7290999","pMSM",0,0,0,0,"3.6.2"
"838","SRR7187771","pMSM",1,0,0,1,"3.7.25"
"839","SRR7257044","non-pMSM",0,0,0,0,"3.7.16"
"840","SRR7244219","Travel",0,0,0,0,"3.7.25"
"841","SRR7172258","non-pMSM",1,0,1,0,"3.6.1.1"
"842","SRR7367366","Travel",1,0,1,0,"3.6.1.1"
"843","SRR7249736","Travel",1,0,1,0,"3.6.1.1"
"844","SRR7187007","non-pMSM",1,0,1,0,"3.6.1.1"
"845","SRR7230381","Travel",0,0,0,0,"3.7.26"
"846","SRR7172303","pMSM",1,0,1,1,"3.6.1.1.2"
"847","SRR7187890","non-pMSM",0,0,0,0,"3.7.30.4.1"
"848","SRR7286390","non-pMSM",0,0,0,0,"3.7.10"
"849","SRR7187532","non-pMSM",1,0,1,0,"3.6.1.1"
"850","SRR7223150","non-pMSM",1,0,1,0,"3.6.1.1"
"851","SRR7290895","pMSM",1,1,0,0,"3.7.25"
"852","SRR7358024","Travel",1,1,0,0,"3.7.25"
"853","SRR7282625","pMSM",1,0,1,1,NA
